threshold,SN_COMPS,SN_RECALL,SN_PRECISION,SN_F1,DSC_COMPS,DSC_RECALL,DSC_PRECISION,DSC_F1,TOL_COMPS,TOL_RECALL,TOL_PRECISION,TOL_F1
0.3,487550,0.72,0.001,0.001997226,18063734,0.47,0.001,0.001995754,3120761,0.72,0.000361904,0.000723444
0.4,487550,0.55,0.08,0.13968254,895121,0.33,0.06,0.101538462,413854,0.55,0.06796865,0.120985935
0.5,487550,0.53,0.08,0.139016393,866141,0.32,0.07,0.114871795,402094,0.53,0.082945238,0.143441775
0.6,487550,0.53,0.08,0.139016393,866141,0.32,0.07,0.114871795,402094,0.53,0.082945238,0.143441775
0.7,487550,0.53,0.08,0.139016393,860947,0.32,0.07,0.114871795,399659,0.53,0.08398374,0.144992055
0.8,487550,0.53,0.08,0.139016393,860947,0.32,0.07,0.114871795,399659,0.53,0.08398374,0.144992055
0.9,487550,0.53,0.08,0.139016393,860947,0.32,0.07,0.114871795,399659,0.53,0.08398374,0.144992055
