2,11268,0.07
3,22530,0.13
4,33786,0.17
5,45036,0.22
6,56280,0.26
7,67518,0.29
8,78750,0.33
9,89976,0.36
10,101196,0.39
11,112410,0.41
12,123618,0.44
13,134820,0.46
14,146016,0.48
15,157206,0.50
16,168390,0.52
17,179568,0.54
18,190740,0.56
19,201906,0.58
20,213066,0.59
21,224220,0.61
22,235368,0.62
23,246510,0.64
24,257646,0.65
25,268776,0.67
26,279900,0.68
27,291018,0.69
28,302130,0.70
29,313236,0.71
30,324336,0.72
31,335430,0.73
32,346518,0.74
33,357600,0.75
34,368676,0.76
35,379746,0.77
36,390810,0.77
37,401868,0.78
38,412920,0.79
39,423966,0.80
40,435006,0.80
41,446040,0.81
42,457068,0.82
43,468090,0.82
44,479106,0.83
45,490116,0.83
46,501120,0.84
47,512118,0.85
48,523110,0.85
49,534096,0.86
50,545076,0.86
51,556050,0.87
52,567018,0.87
53,577980,0.88
54,588936,0.88
55,599886,0.88
56,610830,0.89
57,621768,0.89
58,632700,0.90
59,643626,0.90
60,654546,0.90
61,665460,0.91
62,676368,0.91
63,687270,0.91
64,698166,0.92
65,709056,0.92
66,719940,0.92
67,730818,0.93
68,741690,0.93
69,752556,0.93
70,763416,0.94
71,774270,0.94
72,785118,0.94
73,795960,0.94
74,806796,0.95
75,817626,0.95
76,828450,0.95
77,839268,0.95
78,850080,0.95
79,860886,0.96
80,871686,0.96
81,882480,0.96
82,893268,0.96
83,904050,0.96
84,914826,0.96
85,925596,0.97
86,936360,0.97
87,947118,0.97
88,957870,0.97
89,968616,0.97
90,979356,0.97
91,990090,0.97
92,1000818,0.97
93,1011540,0.98
94,1022256,0.98
95,1032966,0.98
96,1043670,0.98
97,1054368,0.98
98,1065060,0.98
99,1075746,0.98
100,1086426,0.98
101,1097100,0.98
102,1107768,0.98
103,1118430,0.98
104,1129086,0.98
105,1139736,0.98
106,1150380,0.98
107,1161018,0.99
108,1171650,0.99
109,1182276,0.99
110,1192896,0.99
111,1203510,0.99
112,1214118,0.99
113,1224720,0.99
114,1235316,0.99
115,1245906,0.99
116,1256490,0.99
117,1267068,0.99
118,1277640,0.99
119,1288206,0.99
120,1298766,0.99
121,1309320,0.99
122,1319868,0.99
123,1330410,0.99
124,1340946,0.99
125,1351476,0.99
126,1362000,0.99
127,1372518,0.99
128,1383030,0.99
129,1393536,0.99
130,1404036,0.99
131,1414530,0.99
132,1425018,0.99
133,1435500,0.99
134,1445976,0.99
135,1456446,0.99
136,1466910,0.99
137,1477368,0.99
138,1487820,0.99
139,1498266,0.99
140,1508706,0.99
141,1519140,1.00
